"POLITICAL_UNIT","NAME","WGMS_ID","PSFG_ID","WGI_ID","GLIMS_ID","RGI_ID","REMARKS"
"AF","UNNAMED 15981",15981,,,"G074020E37006N","RGI50-14.00471","Information derived from RGI5.0."
"AF","UNNAMED 15982",15982,,,"G074408E37026N","RGI50-14.00473","Information derived from RGI5.0."
"AF","UNNAMED 15983",15983,,,"G074319E36989N","RGI50-14.00489","Information derived from RGI5.0."
"AF","UNNAMED 15987",15987,,,"G074536E37000N","RGI50-14.00524","Information derived from RGI5.0."
"AF","UNNAMED 15988",15988,,,"G074447E37018N","RGI50-14.00529","Information derived from RGI5.0."
"AF","UNNAMED 15991",15991,,,"G074151E36978N","RGI50-14.00548","Information derived from RGI5.0."
"AF","UNNAMED 15992",15992,,,"G074109E36973N","RGI50-14.00550","Information derived from RGI5.0."
"AF","UNNAMED 15993",15993,,,"G074040E36998N","RGI50-14.00551","Information derived from RGI5.0."
"AF","UNNAMED 15994",15994,,,"G073972E37007N","RGI50-14.00555","Information derived from RGI5.0."
"AF","UNNAMED 15995",15995,,,"G074050E36963N","RGI50-14.00559","Information derived from RGI5.0."
"AF","UNNAMED 16005",16005,,,"G074002E36976N","RGI50-14.00627","Information derived from RGI5.0."
"AF","UNNAMED 16010",16010,,,"G074183E36931N","RGI50-14.00669","Information derived from RGI5.0."
"AF","UNNAMED 16012",16012,,,"G074345E36972N","RGI50-14.00674","Information derived from RGI5.0."
"AF","UNNAMED 16013",16013,,,"G073813E36951N","RGI50-14.00682","Information derived from RGI5.0."
"AF","UNNAMED 16014",16014,,,"G074166E36966N","RGI50-14.00684","Information derived from RGI5.0."
"AF","UNNAMED 16018",16018,,,"G074240E36922N","RGI50-14.00722","Information derived from RGI5.0."
"AF","UNNAMED 16022",16022,,,"G073644E36912N","RGI50-14.00753","Information derived from RGI5.0."
"AF","UNNAMED 16027",16027,,,"G073688E36921N","RGI50-14.00802","Information derived from RGI5.0."
"AF","UNNAMED 16028",16028,,,"G073626E36917N","RGI50-14.00805","Information derived from RGI5.0."
"AF","UNNAMED 16029",16029,,,"G074079E36920N","RGI50-14.00809","Information derived from RGI5.0."
"AF","UNNAMED 16034",16034,,,"G073842E36931N","RGI50-14.00830","Information derived from RGI5.0."
"AF","UNNAMED 16035",16035,,,"G074047E36927N","RGI50-14.00842","Information derived from RGI5.0."
"AF","UNNAMED 16036",16036,,,"G073908E36917N","RGI50-14.00850","Information derived from RGI5.0."
"AF","UNNAMED 16037",16037,,,"G074142E36897N","RGI50-14.00857","Information derived from RGI5.0."
"AF","UNNAMED 16039",16039,,,"G073873E36921N","RGI50-14.00868","Information derived from RGI5.0."
"AF","UNNAMED 16040",16040,,,"G073840E36919N","RGI50-14.00875","Information derived from RGI5.0."
"AF","UNNAMED 16042",16042,,,"G073727E36908N","RGI50-14.00891","Information derived from RGI5.0."
"AF","UNNAMED 16046",16046,,,"G073916E36907N","RGI50-14.00929","Information derived from RGI5.0."
"AF","UNNAMED 16047",16047,,,"G073507E36902N","RGI50-14.00940","Information derived from RGI5.0."
"AF","UNNAMED 16050",16050,,,"G073808E36899N","RGI50-14.00967","Information derived from RGI5.0."
"AF","UNNAMED 16056",16056,,,"G073921E36876N","RGI50-14.01001","Information derived from RGI5.0."
"AF","UNNAMED 16057",16057,,,"G073531E36885N","RGI50-14.01017","Information derived from RGI5.0."
"AF","UNNAMED 16066",16066,,,"G074113E36855N","RGI50-14.01076","Information derived from RGI5.0."
"AF","UNNAMED 16082",16082,,,"G074077E36851N","RGI50-14.01206","Information derived from RGI5.0."
"AF","UNNAMED 16086",16086,,,"G073988E36845N","RGI50-14.01228","Information derived from RGI5.0."
"AF","UNNAMED 16089",16089,,,"G074034E36836N","RGI50-14.01252","Information derived from RGI5.0."
"AF","UNNAMED 16516",16516,,,"G074533E37034N","RGI50-14.05392","Information derived from RGI5.0."
"AF","UNNAMED 16530",16530,,,"G073890E36895N","RGI50-14.05530","Information derived from RGI5.0."
"AF","UNNAMED 17193",17193,,,"G074473E37016N","RGI50-14.11086","Information derived from RGI5.0."
"AF","UNNAMED 17195",17195,,,"G074416E37012N","RGI50-14.11118","Information derived from RGI5.0."
"AF","UNNAMED 17197",17197,,,"G074169E36952N","RGI50-14.11132","Information derived from RGI5.0."
"AF","UNNAMED 17198",17198,,,"G074119E36987N","RGI50-14.11150","Information derived from RGI5.0."
"AF","UNNAMED 17712",17712,,,"G074441E37099N","RGI50-14.20411","Information derived from RGI5.0."
"AF","UNNAMED 17713",17713,,,"G074386E37129N","RGI50-14.20419","Information derived from RGI5.0."
"AF","UNNAMED 17714",17714,,,"G074303E37094N","RGI50-14.20422","Information derived from RGI5.0."
"AF","UNNAMED 17715",17715,,,"G074327E37095N","RGI50-14.20423","Information derived from RGI5.0."
"AF","UNNAMED 17716",17716,,,"G074288E37129N","RGI50-14.20426","Information derived from RGI5.0."
"AF","UNNAMED 17717",17717,,,"G074242E37122N","RGI50-14.20444","Information derived from RGI5.0."
"AF","UNNAMED 17718",17718,,,"G074229E37135N","RGI50-14.20446","Information derived from RGI5.0."
"AF","UNNAMED 17719",17719,,,"G074281E37112N","RGI50-14.20451","Information derived from RGI5.0."
"AF","UNNAMED 17720",17720,,,"G074271E37070N","RGI50-14.20453","Information derived from RGI5.0."
"AF","UNNAMED 17721",17721,,,"G074673E37281N","RGI50-14.20499","Information derived from RGI5.0."
"AF","UNNAMED 17722",17722,,,"G074382E37105N","RGI50-14.20549","Information derived from RGI5.0."
"AF","UNNAMED 17723",17723,,,"G074316E37113N","RGI50-14.20554","Information derived from RGI5.0."
"AF","UNNAMED 17724",17724,,,"G074337E37116N","RGI50-14.20555","Information derived from RGI5.0."
"AF","UNNAMED 17725",17725,,,"G074350E37126N","RGI50-14.20556","Information derived from RGI5.0."
