"POLITICAL_UNIT","NAME","WGMS_ID","Year","TIME_SYSTEM","BEGIN_PERIOD","END_WINTER","END_PERIOD","ELA_PREFIX","ELA","ELA_UNC","MIN_SITES_ACC","MAX_SITES_ACC","MIN_SITES_ABL","MAX_SITES_ABL","ACC_AREA","ACC_AREA_UNC","ABL_AREA","ABL_AREA_UNC","AAR","PUB_IN_MBB","PUB_IN_FOG","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"AT","KESSELWAND F.",507,2016,"FXD",20151001,,20160930,,,,3,3,18,18,1.4520000,,2.0560000,,40.00000,,,"Juen I. (ACINN), Galos S. (ACINN), Kaser G. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck",,
"AT","KESSELWAND F.",507,2017,,20161001,,20170930,,,,3,3,17,18,0.4410000,,3.1670000,,12.00000,,,"Juen I. (ACINN), Kaser G. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck",,
"AT","KESSELWAND F.",507,2018,"FXD",20171001,20180430,20180930,,3406,10.00000,2,2,14,14,0.5980000,0.0100000,3.0100000,0.0100000,17.00000,,,"Juen I. (ACINN), Kaser G. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck",,
"AT","KESSELWAND F.",507,2019,"FXD",20181001,20190430,20190930,,3222,5.000000,5,5,12,12,1.3560000,0.0100000,2.1930000,0.0100000,38.00000,,,"Rainer Prinz","Department of Atmospheric and Cryospheric Sciences, University of Innsbruck, Innrain 52f, 6020 Innsbruck, Austria",,
"AT","KESSELWAND F.",507,2020,"FXD",20191001,20200430,20200930,,3239,10.00000,4,4,10,10,1.3720000,0.0100000,2.1770000,0.0100000,39.00000,,,"Rainer Prinz","Department of Atmospheric and Cryospheric Sciences, University of Innsbruck, Innrain 52f, 6020 Innsbruck, Austria",,
"AT","KLEINFLEISS K.",547,1999,,,,,,,,,,,,,,,,,,,,,,
"AT","KLEINFLEISS K.",547,2000,,,,,,,,,,,,,,,,,,,,,,
"AT","KLEINFLEISS K.",547,2001,"FXD",20001001,20010430,20010930,,2920,10.00000,5,49,9,9,0.4830000,0.0001000,0.4610000,0.0001000,51.00000,,2005,"Wolfgang Schöner","Central Institute for Meteorology and Geodynamics,  Hohe Warte 38, 1190 Wien, Austria"," WGMS (2008): FoG 2000-2005 (Vol. IX).","Max. number of acc. sites includes probing points additionally to snow pits (min. nr. of acc. sites)"
"AT","KLEINFLEISS K.",547,2002,"FXD",20011001,20020430,20020930,,3100,10.00000,4,98,9,10,0.1210000,0.0001000,0.8240000,0.0001000,13.00000,,2005,"Wolfgang Schöner","Central Institute for Meteorology and Geodynamics,  Hohe Warte 38, 1190 Wien, Austria"," WGMS (2008): FoG 2000-2005 (Vol. IX).","Max. number of acc. sites includes probing points additionally to snow pits (min. nr. of acc. sites)"
"AT","KLEINFLEISS K.",547,2003,"FXD",20021001,20030430,20030930,">",3100,10.00000,5,73,12,12,0.0000000,0.0001000,0.8980000,0.0001000,0.0000000,,2005,"Wolfgang Schöner","Central Institute for Meteorology and Geodynamics,  Hohe Warte 38, 1190 Wien, Austria"," WGMS (2008): FoG 2000-2005 (Vol. IX).","Max. number of acc. sites includes probing points additionally to snow pits (min. nr. of acc. sites). ELA >3100."
"AT","KLEINFLEISS K.",547,2004,"FXD",20031001,20040430,20040930,,2820,10.00000,5,84,11,11,0.6650000,0.0001000,0.2340000,0.0001000,75.00000,,2005,"Böhm R. (ZAMG), Schöner W. (ZAMG), Hynek B. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik"," WGMS (2008): FoG 2000-2005 (Vol. IX).","Max. number of acc. sites includes probing points additionally to snow pits (min. nr. of acc. sites)"
"AT","KLEINFLEISS K.",547,2005,"FXD",20041001,20050430,20050930,,2850,10.00000,5,81,9,9,0.5490000,0.0001000,0.3230000,0.0001000,63.00000,,2005,"Böhm R. (ZAMG), Schöner W. (ZAMG), Hynek B. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik"," WGMS (2008): FoG 2000-2005 (Vol. IX).","Max. number of acc. sites includes probing points additionally to snow pits (min. nr. of acc. sites)"
"AT","KLEINFLEISS K.",547,2006,"FXD",20050930,,20061001,,3070,,,,,,0.0891000,,0.7825000,,10.00000,2007,2010,"Hynek B. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Schöner W. (ZAMG), Böhm R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).",
"AT","KLEINFLEISS K.",547,2007,"FXD",20061001,20070430,20070930,,3020,10.00000,5,375,10,,0.2000000,0.0600000,0.6700000,0.0600000,23.00000,2007,2010,"Hynek B. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Schöner W. (ZAMG), Böhm R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2009): GMBB No. 10 (2006-2007). WGMS (2012): FoG 2005-2010 (Vol. X).","Max. number of acc. sites includes 118 probing points and 257 radar points."
